k1_m2,k2_m2,half_trace_x,half_trace_y,stable,qx_principal,qy_principal
-15.0,,-3.1051237145154404,8.089745349271514,False,,
-14.995,,-3.104189223505334,8.087159704810137,False,,
-14.99,,-3.1032546623786934,8.08457421300091,False,,
-14.985,,-3.102320031133342,8.081988873839428,False,,
-14.98,,-3.101385329767105,8.07940368732129,False,,
-14.975,,-3.1004505582778097,8.076818653442093,False,,
-14.97,,-3.099515716663281,8.074233772197433,False,,
-14.965,,-3.098580804921345,8.071649043582912,False,,
-14.96,,-3.097645823049826,8.06906446759412,False,,
-14.955,,-3.096710771046549,8.066480044226662,False,,
-14.95,,-3.095775648909342,8.063895773476133,False,,
-14.945,,-3.094840456636028,8.06131165533813,False,,
-14.94,,-3.093905194224434,8.058727689808254,False,,
-14.935,,-3.0929698616723833,8.056143876882102,False,,
-14.93,,-3.092034458977703,8.053560216555267,False,,
-14.925,,-3.091098986138217,8.050976708823356,False,,
-14.92,,-3.0901634431517504,8.048393353681961,False,,
-14.915,,-3.089227830016129,8.04581015112668,False,,
-14.91,,-3.088292146729178,8.043227101153118,False,,
-14.905,,-3.087356393288722,8.040644203756868,False,,
-14.9,,-3.086420569692587,8.03806145893353,False,,
-14.895,,-3.085484675938595,8.035478866678702,False,,
-14.89,,-3.0845487120245734,8.032896426987985,False,,
-14.885,,-3.0836126779483473,8.030314139856975,False,,
-14.88,,-3.08267657370774,8.027732005281276,False,,
-14.875,,-3.0817403993005774,8.02515002325648,False,,
-14.87,,-3.0808041547246825,8.02256819377819,False,,
-14.865,,-3.079867839977883,8.019986516842005,False,,
-14.86,,-3.0789314550580005,8.017404992443527,False,,
-14.855,,-3.077994999962862,8.014823620578351,False,,
-14.85,,-3.07705847469029,8.012242401242077,False,,
-14.845,,-3.0761218792381104,8.009661334430309,False,,
-14.84,,-3.075185213604147,8.007080420138639,False,,
-14.835,,-3.0742484777862247,8.004499658362676,False,,
-14.83,,-3.073311671782167,8.00191904909801,False,,
-14.825,,-3.0723747955897993,7.999338592340249,False,,
-14.82,,-3.071437849206945,7.996758288084989,False,,
-14.815,,-3.0705008326314296,7.994178136327832,False,,
-14.81,,-3.0695637458610756,7.991598137064376,False,,
-14.805,,-3.068626588893708,7.989018290290222,False,,
-14.8,,-3.0676893617271523,7.986438596000973,False,,
-14.795,,-3.06675206435923,7.983859054192223,False,,
-14.79,,-3.0658146967877675,7.98127966485958,False,,
-14.785,,-3.0648772590105873,7.978700427998639,False,,
-14.78,,-3.0639397510255133,7.976121343605003,False,,
-14.775,,-3.0630021728303705,7.9735424116742735,False,,
-14.77,,-3.0620645244229827,7.97096363220205,False,,
-14.765,,-3.0611268058011722,7.968385005183933,False,,
-14.76,,-3.060189016962765,7.965806530615523,False,,
-14.755,,-3.0592511579055826,7.9632282084924215,False,,
-14.75,,-3.0583132286274504,7.960650038810233,False,,
-14.745,,-3.057375229126191,7.958072021564554,False,,
-14.74,,-3.0564371593996285,7.955494156750989,False,,
-14.735,,-3.0554990194455867,7.952916444365136,False,,
-14.73,,-3.05456080926189,7.950338884402601,False,,
-14.725,,-3.0536225288463585,7.947761476858979,False,,
-14.72,,-3.05268417819682,7.945184221729881,False,,
-14.715,,-3.051745757311094,7.9426071190108996,False,,
-14.71,,-3.0508072661870074,7.940030168697642,False,,
