run,dt_s,ranks,max_position_error_m,max_momentum_error,energy_drift_MeV,max_particle_offset_m,end_time_s,end_path_m,steps
dt1_rank1,1.64527805199081e-10,1,0.0003348054648414925,0.000169528053929658,3.1462832339457236e-11,3.4701899224672045e-13,1.1878907535373701e-07,13.202970643010884,722
dt2_rank1,8.22639025995405e-11,1,7.599683919838184e-05,2.8310177761469266e-05,6.355094228638336e-11,7.398004972902234e-13,1.1870681145113748e-07,13.194022656718627,1443
dt4_rank1,4.113195129977025e-11,1,3.597974883501272e-05,1.4192699848845355e-05,1.2896350654045818e-10,1.5296333735518335e-12,1.187068114511375e-07,13.19407141272301,2886
