plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.22989243096656006,9.941344969455201e-11,2.542627330903713e-09
vertical,0.31046360297978925,0.3104636032736617,2.938724263934489e-10,1.5018897236984685e-10
