plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.229891460668889,-9.701982576215684e-07,7.3670056721653054e-09
vertical,0.31046360297978925,0.3104623839274394,-1.2190523498434302e-06,1.694777651550794e-11
