plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.22988857141664643,-3.8594505001876556e-06,6.491596815649814e-09
vertical,0.31046360297978925,0.310458760864354,-4.84211543527735e-06,1.5179013601596125e-10
