richardson_levels,dt_s_before,epsilon_before,scaled_max_error_before,R16_before,R26_before,relative_frobenius_error_before,worst_entry_before,dt_s_after,epsilon_after,scaled_max_error_after,R16_after,R26_after,relative_frobenius_error_after,worst_entry_after,best_error_gain
0,3.000000000000e-13,1.000000000000e-04,6.165532526751e-08,-1.594706350553e-08,-2.065981430606e-08,8.841175102548e-09,R52,1.000000000000e-13,3.000000000000e-06,9.296484471122e-09,-7.034692544205e-09,-1.909257614266e-09,1.295089291207e-09,R12,6.632111897678e+00
1,1.000000000000e-13,3.000000000000e-03,7.478656759042e-09,-7.478657092109e-09,7.614869324729e-10,9.865179122533e-10,R16,1.000000000000e-13,1.000000000000e-05,8.366484394173e-09,-5.338758153958e-09,-2.974797943206e-10,1.142202754841e-09,R12,8.938828313898e-01
2,1.000000000000e-13,3.000000000000e-02,1.141348437983e-08,-8.072299378133e-09,-1.570483287548e-09,1.386381191188e-09,R12,1.000000000000e-13,1.000000000000e-04,9.152484548025e-09,-6.485070243029e-09,-1.959308355155e-09,1.197763350074e-09,R12,1.247036727562e+00
3,1.000000000000e-13,3.000000000000e-02,9.118535296244e-09,-5.625266258005e-09,-2.407758203606e-09,1.253171302130e-09,R52,1.000000000000e-13,3.000000000000e-05,9.393484434739e-09,-6.957775625223e-09,-3.291113077045e-09,1.279683342695e-09,R12,9.707298031518e-01
4,1.000000000000e-13,1.000000000000e-01,9.361484476500e-09,-7.103862181748e-09,-2.120368726172e-09,1.429607361935e-09,R12,1.000000000000e-13,3.000000000000e-04,9.283484425637e-09,-6.745690528875e-09,-1.852470206206e-09,1.223770697659e-09,R12,1.008402023129e+00
