model,name,pair,kind,species,charge_units,witness_bunch_charge_C,step_since_t0,time_s,time_fs,time_ps,time_since_t0_fs,time_since_t0_ps,source_active,source_z_m,source_sigma_x_m,source_sigma_y_m,source_sigma_z_m,source_plus_3sigma_z_m,source_charge_C,x_m,y_m,z_abs_m,s_minus_ip_m,x_um,y_um,s_minus_ip_mm,px,py,pz,gamma,kinetic_keV,Ex_V_per_m,Ey_V_per_m,Ez_V_per_m,Bx_T,By_T,Bz_T,E_abs_V_per_m,B_abs_T
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,200,5e-12,5000,5.0,999.9999999999998,0.9999999999999998,True,0.0035997918086343884,0.0005391502601842272,0.0005397402926108622,0.000600027437774719,0.0053998741219585455,-2.0027207925e-09,1.94433239849754e-06,0.0,0.005359627899256625,-0.0006403721007433747,1.94433239849754,0.0,-0.6403721007433747,9.433610088746261e-08,0.0,1.7320512235371954,2.000000360239144,510.9991340818243,-1084.6367828905422,0.0,-77.55893473378666,0.0,-3.6179510343534575e-06,0.0,1087.4062438464223,3.6179510343534575e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,220,5.1e-12,5100,5.1,1099.9999999999998,1.0999999999999996,True,0.0036297709894978275,0.0005500092076790632,0.0005506105784795018,0.0006003351843100024,0.005430776542427834,-2.0027207925e-09,1.9443338761303404e-06,0.0,0.0053855906892730804,-0.0006144093107269197,1.9443338761303404,0.0,-0.6144093107269197,1.0279496135266677e-07,0.0,1.7320512281111824,2.000000364200333,510.99913610598776,-1067.0050436114416,0.0,-78.41332874169548,0.0,-3.559138010151686e-06,0.0,1069.8824296232776,3.559138010151686e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,240,5.2e-12,5200,5.199999999999999,1199.9999999999998,1.1999999999999997,True,0.003659750170361266,0.0005608682282618083,0.0005614809370253349,0.0006006488687854002,0.005461696776717467,-2.0027207925e-09,1.944335479539684e-06,0.0,0.005411553479306769,-0.000588446520693231,1.9443354795396839,0.0,-0.588446520693231,1.1111934265656495e-07,0.0,1.7320512327356339,2.0000003682052268,510.99913815248425,-1050.460432436976,0.0,-79.279860774928,0.0,-3.503951247121104e-06,0.0,1053.4478707749001,3.503951247121104e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,260,5.3e-12,5300,5.3,1299.9999999999998,1.2999999999999996,True,0.003689729351224705,0.0005717273194483305,0.000572351365717504,0.0006009684809204843,0.005492634793986158,-2.0027207925e-09,1.9443372067724363e-06,0.0,0.005437516269357883,-0.000562483730642117,1.9443372067724363,0.0,-0.562483730642117,1.1931750791592938e-07,0.0,1.7320512374112618,2.0000003722544397,510.99914022162784,-1034.9286574340022,0.0,-80.15858346166148,0.0,-3.4521429345838874e-06,0.0,1038.0282869366933,3.4521429345838874e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,280,5.4000000000000004e-12,5400,5.4,1400.0000000000005,1.4000000000000006,True,0.003719708532088144,0.0005825864786830919,0.0005832218619596676,0.0006012940103588704,0.0055235905631647545,-2.0027207925e-09,1.944339055995073e-06,0.0,0.005463479059426617,-0.0005365209405733835,1.9443390559950733,0.0,-0.5365209405733835,1.2739716126787056e-07,0.0,1.7320512421387841,2.000000376348595,510.99914231373685,-1020.341984869287,0.0,-81.04954861488946,0.0,-3.4034871376150212e-06,0.0,1023.5559561732196,3.4034871376150212e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,300,5.5e-12,5500,5.5,1500.0000000000005,1.5000000000000004,True,0.0037496877129515826,0.0005934457032888096,0.0005940924230428219,0.0006016254466407905,0.005554564052873954,-2.0027207925e-09,1.944341025485669e-06,0.0,0.005489441849513163,-0.0005105581504868369,1.944341025485669,0.0,-0.510558150486837,1.3536549677147406e-07,0.0,1.732051246918919,2.000000380488314,510.99914442912905,-1006.6385461364342,0.0,-81.95280699106056,0.0,-3.3577774852043787e-06,0.0,1009.9690218721504,3.3577774852043787e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,320,5.6e-12,5600,5.6000000000000005,1600.0000000000005,1.6000000000000005,True,0.0037796668938150212,0.0006043049905053105,0.0006049630461863917,0.0006019627791794625,0.005585555231353409,-2.0027207925e-09,1.944343113626593e-06,0.0,0.005515404639617723,-0.00048459536038227696,1.9443431136265927,0.0,-0.48459536038227696,1.4322924218430534e-07,0.0,1.7320512517523914,2.0000003846742245,510.99914656812484,-993.7617288705588,0.0,-82.86840805934564,0.0,-3.314825139238296e-06,0.0,997.2108838265316,3.314825139238296e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,340,5.7e-12,5700,5.7,1700.0000000000005,1.7000000000000004,True,0.0038096460746784603,0.0006151643375711537,0.0006158337285939093,0.0006023059972312688,0.005616564066372266,-2.0027207925e-09,1.944345318897809e-06,0.0,0.005541367429740495,-0.00045863257025950503,1.9443453188978093,0.0,-0.45863257025950505,1.5099469823128814e-07,0.0,1.7320512566399258,2.000000388906954,510.99914873104524,-981.6596407434059,0.0,-83.79639977714716,0.0,-3.2744570059164807e-06,0.0,985.2296619976909,3.2744570059164807e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,360,5.8e-12,5800,5.800000000000001,1800.0000000000005,1.8000000000000005,True,0.003839625255541899,0.0006260237417837111,0.0006267044674944487,0.0006026550898686519,0.005647590525147855,-2.0027207925e-09,1.944347639870751e-06,0.0,0.005567330219881687,-0.00043266978011831294,1.944347639870751,0.0,-0.4326697801183129,1.586677739005658e-07,0.0,1.7320512615822488,2.0000003931871326,510.99915091821197,-970.2846363958366,0.0,-84.7368283749374,0.0,-3.2365141577720653e-06,0.0,973.9777234150915,3.2365141577720653e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,380,5.9e-12,5900,5.9,1900.0000000000005,1.9000000000000004,True,0.0038696044364053377,0.0006368832005386831,0.0006375752601877583,0.0006030100459713418,0.005678634574319363,-2.0027207925e-09,1.94435007520269e-06,0.0,0.005593293010041503,-0.00040670698995849686,1.94435007520269,0.0,-0.40670698995849686,1.6625401823100718e-07,0.0,1.7320512665800922,2.000000397515393,510.99915312994847,-959.5928992765944,0.0,-85.68973815585846,0.0,-3.200850438838884e-06,0.0,963.4112639819402,3.200850438838884e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,400,6e-12,6000,6.0,2000.0000000000005,2.0000000000000004,True,0.0038995836172687768,0.0006477427113515107,0.0006484461040746528,0.0006033708542351214,0.005709696179974141,-2.0027207925e-09,1.9443526236315598e-06,0.0,0.005619255800220155,-0.00038074419977984515,1.9443526236315598,0.0,-0.38074419977984514,1.7375864899540631e-07,0.0,1.7320512716341898,2.0000004018923705,510.9991553665794,-949.5440712131805,0.0,-86.65517130938251,0.0,-3.167331229035599e-06,0.0,953.4899380123317,3.167331229035599e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,420,6.1e-12,6100,6.1000000000000005,2100.0000000000005,2.1000000000000005,True,0.003929562798132216,0.0006586022718529701,0.0006593169966652914,0.0006037375031942513,0.00574077530771497,-2.0027207925e-09,1.9443552839711864e-06,0.0,0.00564521859041785,-0.0003547814095821505,1.9443552839711864,0.0,-0.3547814095821505,1.8118657863096987e-07,0.0,1.7320512767452783,2.000000406318704,510.99915762843113,-940.1009235628295,0.0,-87.63316773715935,0.0,-3.1358323472457973e-06,0.0,944.1765293478409,3.1358323472457973e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,440,6.2e-12,6200,6.2,2200.0000000000005,2.2,True,0.003959541978995654,0.0006694618797771017,0.000670187935577575,0.0006041099812497529,0.005771871922744913,-2.0027207925e-09,1.9443580551068896e-06,0.0,0.0056711813806348075,-0.00032881861936519263,1.9443580551068895,0.0,-0.32881861936519263,1.8854243772328714e-07,0.0,1.732051281914092,2.000000410795029,510.99915991582856,-931.2290645587724,0.0,-88.62376488725009,0.0,-3.1062390751323205e-06,0.0,935.4366586689858,3.1062390751323205e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,460,6.3e-12,6300,6.3,2300.0000000000005,2.3000000000000003,True,0.003989521159859093,0.0006803215329530567,0.0006810589185469351,0.0006044882766899227,0.005802985989928861,-2.0027207925e-09,1.9443609359914256e-06,0.0,0.0056971441708712454,-0.0003028558291287547,1.9443609359914256,0.0,-0.3028558291287547,1.9583059631036954e-07,0.0,1.732051287141376,2.0000004153219906,510.9991622291011,-922.8966781718423,0.0,-89.62699759045832,0.0,-3.0784452860752248e-06,0.0,927.2385223219002,3.0784452860752248e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,480,6.4e-12,6400,6.4,2400.0000000000005,2.4000000000000004,True,0.004019500340722531,0.0006911812293094484,0.0006919299434413327,0.0006048723777135947,0.0058341174738633155,-2.0027207925e-09,1.9443639256412224e-06,0.0,0.005723106961127383,-0.0002768930388726172,1.9443639256412224,0.0,-0.2768930388726172,2.0305518324008182e-07,0.0,1.73205129242787,2.00000041990023,510.99916456857676,-915.0742907316906,0.0,-90.64289790258191,0.0,-3.0523526667056435e-06,0.0,919.5526589044721,3.0523526667056435e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,500,6.5e-12,6500,6.5,2500.0000000000005,2.5000000000000004,True,0.0040494795215859705,0.000702040966886474,0.0007028010082618392,0.0006052622724526004,0.0058652663389437715,-2.0027207925e-09,1.9443670231329015e-06,0.0,0.005749069751403444,-0.00025093024859655644,1.9443670231329016,0.0,-0.25093024859655644,2.1022010378632376e-07,0.0,1.7320512977743185,2.0000004245303913,510.9991669345842,-907.7345619538671,0.0,-91.67149495092787,0.0,-3.027870019848663e-06,0.0,912.3517402581732,3.027870019848663e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,520,6.6e-12,6600,6.6000000000000005,2600.0000000000005,2.6,True,0.004079458702449409,0.000712900743831043,0.0007136721111432034,0.000605657948989539,0.005896432549418026,-2.0027207925e-09,1.9443702276000505e-06,0.0,0.0057750325416996515,-0.0002249674583003486,1.9443702276000505,0.0,-0.2249674583003486,2.173290557047239e-07,0.0,1.732051303181467,2.00000042921312,510.9991693274537,-900.8520974790493,0.0,-92.7128147831766,0.0,-3.004912639222857e-06,0.0,905.6103839717289,3.004912639222857e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,540,6.7e-12,6700,6.7,2700.0,2.7,True,0.004109437883312848,0.0007237605584084699,0.0007245432503574535,0.0006060593953643367,0.005927616069405858,-2.0027207925e-09,1.944373538230219e-06,0.0,0.005800995332016236,-0.0001990046679837638,1.9443735382302187,0.0,-0.19900466798376382,2.2438554388683774e-07,0.0,1.7320513086500628,2.0000004339490642,510.9991717475162,-894.4032802828114,0.0,-93.76688021525567,0.0,-2.9834017470850232e-06,0.0,899.304984755425,2.9834017470850232e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,560,6.8e-12,6800,6.8,2800.0,2.8000000000000003,True,0.004139417064176287,0.0007346204090218378,0.0007354144243235312,0.000606466599570057,0.005958816862886458,-2.0027207925e-09,1.944376954262134e-06,0.0,0.0058269581223534305,-0.00017304187764656965,1.9443769542621339,0.0,-0.17304187764656964,2.313928937529516e-07,0.0,1.7320513141808542,2.0000004387388715,510.9991741951027,-888.3661188052149,0.0,-94.83371067807175,0.0,-2.963263987646126e-06,0.0,893.4135625352984,2.963263987646126e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,580,6.9e-12,6900,6.9,2900.0,2.9000000000000004,True,0.004169396245039725,0.0007454802942160411,0.0007462856316077659,0.0006068795495477136,0.0059900348936828655,-2.0027207925e-09,1.9443804749831025e-06,0.0,0.005852920912711469,-0.00014707908728853105,1.9443804749831024,0.0,-0.14707908728853106,2.383542635082134e-07,0.0,1.7320513197745913,2.0000004435831906,510.99917667054467,-882.7201100501298,0.0,-95.91332206720986,0.0,-2.9444309704207734e-06,0.0,887.9156255167952,2.9444309704207734e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,600,7e-12,7000,7.0,3000.0,3.0,True,0.004199375425903164,0.0007563402126689415,0.0007571568709138082,0.0006072982331850659,0.006021270125458362,-2.0027207925e-09,1.9443840997265882e-06,0.0,0.005878883703090587,-0.00012111629690941296,1.9443840997265882,0.0,-0.12111629690941296,2.4527265537352927e-07,0.0,1.7320513254320222,2.000000448482671,510.999179174174,-877.4461160263143,0.0,-97.00572659758409,0.0,-2.9268388580799152e-06,0.0,882.792046589903,2.9268388580799152e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,620,7.1e-12,7100,7.1,3100.0,3.1,True,0.004229354606766603,0.0007672001631986023,0.0007680281410626538,0.0006077226383173991,0.006052522521718801,-2.0027207925e-09,1.944387827869953e-06,0.0,0.005904846493491026,-9.515350650897425e-05,1.9443878278699531,0.0,-0.09515350650897425,2.521509258902346e-07,0.0,1.7320513311538994,2.000000453437963,510.9991817063231,-872.5262519935018,0.0,-98.11093266191409,0.0,-2.9104279936807234e-06,0.0,878.0249515393161,2.9104279936807234e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,640,7.2e-12,7200,7.2,3200.0,3.2,True,0.004259333787630042,0.0007780601447480419,0.0007788994409797495,0.0006081527527177261,0.00608379204578322,-2.0027207925e-09,1.944391658832345e-06,0.0,0.0059308092839130315,-6.919071608696859e-05,1.9443916588323449,0.0,-0.06919071608696858,2.589917953862035e-07,0.0,1.7320513369409734,2.0000004584497177,510.9991842673244,-867.9437851719689,0.0,-99.22894468767451,0.0,-2.895142562798809e-06,0.0,873.5976177179482,2.895142562798809e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,660,7.3e-12,7300,7.3,3300.0,3.3000000000000003,True,0.004289312968493481,0.0007889201563503809,0.0007897707696822518,0.0006085885640777171,0.006115078660726633,-2.0027207925e-09,1.9443955920727225e-06,0.0,0.005956772074356845,-4.3227925643154856e-05,1.9443955920727225,0.0,-0.043227925643154856,2.657978566814101e-07,0.0,1.7320513427939983,2.000000463518587,510.9991868575113,-863.683042805335,0.0,-100.3597629929299,0.0,-2.880930286859397e-06,0.0,869.4943820735584,2.880930286859397e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,680,7.4e-12,7400,7.4,3400.0,3.4,True,0.00431929214935692,0.0007997801970743598,0.0008006421262398953,0.0006090300599900762,0.006146382329327148,-2.0027207925e-09,1.9443996270880054e-06,0.0,0.00598273486482272,-1.7265135177279775e-05,1.9443996270880055,0.0,-0.017265135177279775,2.72571583103103e-07,0.0,1.7320513487137257,2.0000004686452226,510.9991894772167,-859.729328700017,0.0,-101.50338364577378,0.0,-2.8677421447435154e-06,0.0,865.7005576517339,2.8677421447435154e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,700,7.5e-12,7500,7.5,3500.0,3.5,True,0.004349271330220358,0.0008106402659798192,0.0008115135097307883,0.0006094772279377082,0.006177703014033482,-2.0027207925e-09,1.9444037634113363e-06,0.0,0.006008697655310903,8.697655310902982e-06,1.9444037634113363,0.0,0.008697655310902982,2.7931533587382127e-07,0.0,1.7320513547009027,2.0000004738302715,510.9991921267712,-856.0688473496216,0.0,-102.65979832941083,0.0,-2.8555321196947603e-06,0.0,862.2023576838242,2.8555321196947603e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,720,7.6e-12,7600,7.6,3600.0,3.6,True,0.004379250511083797,0.0008215003621013809,0.0008223849192193526,0.000609930055287146,0.006209040676945235,-2.0027207925e-09,1.944408000610457e-06,0.0,0.00603466044582165,3.4660445821650156e-05,1.944408000610457,0.0,0.034660445821650156,2.86031370928664e-07,0.0,1.7320513607562793,2.000000479074383,510.99919480650664,-852.6886348025562,0.0,-103.8289942115152,0.0,-2.844256968718967e-06,0.0,858.9868264184393,2.844256968718967e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,740,7.7e-12,7700,7.7,3700.0,3.7,True,0.004409229691947236,0.0008323604844377056,0.0008332563537352296,0.0006103885292766584,0.006240395279777211,-2.0027207925e-09,1.9444123382861735e-06,0.0,0.006060623236355219,6.0623236355218484e-05,1.9444123382861735,0.0,0.060623236355218484,2.927218452120777e-07,0.0,1.732051366880607,2.0000004843782073,510.9991975167554,-849.5764955536108,0.0,-105.01095381401674,0.0,-2.833876012077641e-06,0.0,856.041775977133,2.833876012077641e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,760,7.8e-12,7800,7.8,3800.0,3.8,True,0.0044392088728106745,0.0008432206319454341,0.0008441278122577476,0.0006108526369996434,0.006271766783809605,-2.0027207925e-09,1.9444167760709194e-06,0.0,0.006086586026911867,8.658602691186731e-05,1.9444167760709195,0.0,0.08658602691186731,2.9938882249923174e-07,0.0,1.7320513730746327,2.0000004897423924,510.9992002578483,-846.7209448612891,0.0,-106.20565488353411,0.0,-2.8243509408797038e-06,0.0,853.3557286360915,2.8243509408797038e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,780,7.9e-12,7900,7.8999999999999995,3900.0,3.9,True,0.004469188053674114,0.0008540808035392262,0.0008549992937029228,0.000611322365381841,0.006303155149819636,-2.0027207925e-09,1.9444213136273987e-06,0.0,0.0061125488174918596,0.00011254881749185944,1.9444213136273987,0.0,0.11254881749185944,3.0603427878253404e-07,0.0,1.7320513793391044,2.0000004951675856,510.99920303011635,-844.1111559420972,0.0,-107.41307026182433,0.0,-2.81564564094098e-06,0.0,850.9178639851058,2.81564564094098e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,800,8e-12,8000,8.0,4000.0,4.0,True,0.004499167234537553,0.0008649409980884795,0.0008658707969169291,0.0006117977011578444,0.006334560338011086,-2.0027207925e-09,1.9444259506473105e-06,0.0,0.0061385116080954595,0.00013851160809545942,1.9444259506473105,0.0,0.13851160809545943,3.126601072600351e-07,0.0,1.7320513856747666,2.0000005006544317,510.99920583388894,-841.7369116245659,0.0,-108.63316775874175,0.0,-2.807726031519724e-06,0.0,848.717970546495,2.807726031519724e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,820,8.1e-12,8100,8.1,4100.0,4.1,True,0.004529146415400991,0.0008758012144072117,0.0008767423206908344,0.0006122786308669731,0.00636598230800191,-2.0027207925e-09,1.9444306868501353e-06,0.0,0.006164474398722939,0.00016447439872293874,1.9444306868501353,0.0,0.16447439872293873,3.1926812295976016e-07,0.0,1.732051392082362,2.0000005062035733,510.99920866949446,-839.5885602010503,0.0,-109.86591003665116,0.0,-2.8005599180543956e-06,0.0,846.7464015917955,2.8005599180543956e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,840,8.2e-12,8200,8.2,4200.0,4.2,True,0.00455912559626443,0.0008866614512737745,0.0008876138637845621,0.0006127651408727464,0.006397421018882669,-2.0027207925e-09,1.9444355219820063e-06,0.0,0.0061904371893745655,0.0001904371893745654,1.9444355219820064,0.0,0.1904371893745654,3.2586006703142515e-07,0.0,1.7320513985626302,2.000000511815652,510.9992115372608,-837.6569750714712,0.0,-111.11125450825097,0.0,-2.7941168575499574e-06,0.0,844.9940347507103,2.7941168575499574e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,860,8.3e-12,8300,8.299999999999999,4300.0,4.3,True,0.004589104777127869,0.0008975217074774015,0.0008984854249667756,0.000613257217391307,0.00642887642930179,-2.0027207925e-09,1.9444404558146258e-06,0.0,0.006216399980050612,0.00021639998005061178,1.9444404558146258,0.0,0.21639998005061178,3.3243761073355424e-07,0.0,1.7320514051163105,2.000000517491307,510.99921443751464,-835.9335177085261,0.0,-112.36915324144032,0.0,-2.788368035043391e-06,0.0,843.4522349420558,2.788368035043391e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,880,8.4e-12,8400,8.4,4400.0,4.3999999999999995,True,0.004619083957991307,0.0009083819818481995,0.0009093570030540442,0.0006137548465151002,0.006460348497536608,-2.0027207925e-09,1.9444454881442474e-06,0.0,0.006242362770751356,0.00024236277075135627,1.9444454881442474,0.0,0.24236277075135626,3.3900235914078475e-07,0.0,1.732051411744139,2.0000005232311766,510.9992173705819,-834.4100035946976,0.0,-113.6395528656273,0.0,-2.7832861499820264e-06,0.0,842.1128202767151,2.7832861499820264e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,900,8.5e-12,8500,8.5,4500.0,4.5,True,0.0046490631388547456,0.0009192422732906921,0.0009202285969363201,0.0006142580142438094,0.0064918371815861735,-2.0027207925e-09,1.9444506187907095e-06,0.0,0.006268325561477079,0.00026832556147707905,1.9444506187907096,0.0,0.26832556147707903,3.455558545939546e-07,0.0,1.7320514184468445,2.000000529035891,510.9992203367849,-833.0786709337483,0.0,-114.92239448483171,0.0,-2.778845311856554e-06,0.0,840.9680307353352,2.778845311856554e-06
