case,old_MeV,opalx_MeV,difference_eV,difference_ppm,final_position_error_um,max_position_error_um,particle_reference_nm
"No TC, DT",590.3258951725991,590.3268245375589,929.3649598021148,1.574325245431403,55.78491810867598,56.56660654621937,1.5579874801057887
"No TC, DT/2",590.2969105166821,590.297352912883,442.3962008104354,0.7494469188788563,26.682284373293097,26.682284373293097,3.1867074277738756
"TC on, DT",590.3850139236016,590.3861162337621,1102.3101604905605,1.8671038974461576,63.18260704633585,65.3010413057742,1.4038574089605056
