integrator,signed_determinant_error_from_saved_matrix,absolute_determinant_error_stdout,maximum_scaled_entry_error,largest_entry,delta_R16_m,delta_R26,cas_model_difference_max,cas_delta_R16_m,cas_delta_R26
BORIS,-7.7626116645745924e-09,7.7564677000000003e-09,9.6477750233248116e-08,R12,-2.6258467178408296e-08,-8.7413803973035442e-09,3.9262506776621287e-01,-4.7107325172754067e-02,-3.9893960736568118e-02
RK4,-1.0262488692180938e-06,1.0262537000000000e-06,4.0522493222283629e-05,R34,-3.2502974671722029e-06,-2.3630532804130855e-06,3.9264561119621177e-01,-4.7110549211754060e-02,-3.9896315048468134e-02
DOP853,-1.7434032495433627e-07,1.7433327000000000e-07,9.9655007499421799e-06,R12,-4.8240194672199976e-06,-4.6728328040313016e-07,3.9263493678921257e-01,-4.7112122933754108e-02,-3.9894419278468124e-02
