dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,epsilon,ranks,mpi_matrix_max_difference
1.000000000000e-13,OK,,5.395236589933e-06,-1.416115714456e-06,-3.617474478825e-07,1.416115714456e-06,3.617474478825e-07,1.416115714456e-06,1.765487000000e-07,2.296295100000e-07,1.000000000000e-03,1,0.000000000000e+00
1.000000000000e-13,OK,,9.610313632852e-08,-8.487746075898e-09,1.875594965601e-08,8.487746075898e-09,1.875594965601e-08,1.875594965601e-08,1.864152600000e-09,6.034380800000e-08,1.000000000000e-04,1,0.000000000000e+00
1.000000000000e-13,OK,,4.252702123786e-07,-1.081297823455e-07,1.318701673318e-07,1.081297823455e-07,1.318701673318e-07,1.318701673318e-07,6.645471100000e-09,7.375885800000e-07,1.000000000000e-05,1,0.000000000000e+00
1.000000000000e-13,OK,,7.989188119014e-06,-7.989188119347e-06,-7.976135776964e-07,7.989188119347e-06,7.976135776964e-07,7.989188119347e-06,1.983597200000e-08,1.747449400000e-05,1.000000000000e-06,1,0.000000000000e+00
1.000000000000e-13,OK,,5.395236589933e-06,-1.416115714456e-06,-3.617474478825e-07,1.416115714456e-06,3.617474478825e-07,1.416115714456e-06,1.765487000000e-07,2.296295100000e-07,1.000000000000e-03,2,0.000000000000e+00
1.000000000000e-13,OK,,9.610313632852e-08,-8.487746075898e-09,1.875594965601e-08,8.487746075898e-09,1.875594965601e-08,1.875594965601e-08,1.864152600000e-09,6.034380800000e-08,1.000000000000e-04,2,0.000000000000e+00
1.000000000000e-13,OK,,4.252702123786e-07,-1.081297823455e-07,1.318701673318e-07,1.081297823455e-07,1.318701673318e-07,1.318701673318e-07,6.645471100000e-09,7.375885800000e-07,1.000000000000e-05,2,0.000000000000e+00
1.000000000000e-13,OK,,7.989188119014e-06,-7.989188119347e-06,-7.976135776964e-07,7.989188119347e-06,7.976135776964e-07,7.989188119347e-06,1.983597200000e-08,1.747449400000e-05,1.000000000000e-06,2,0.000000000000e+00
