plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.2298924312900936,4.229469829919452e-10,1.8859214190314333e-09
vertical,0.31046360297978925,0.3104636031748381,1.9504886594745585e-10,1.518332126693167e-10
