name,kind,support_start_m,support_end_m,body_start_m,body_end_m
B1,bend,0.000000000000000e+00,3.047197551196597e+00,1.000000000000000e+00,2.047197551196597e+00
D1,drift,3.047197551196597e+00,4.047197551196597e+00,3.047197551196597e+00,4.047197551196597e+00
QACH,quadrupole,4.047197551196597e+00,4.247197551196598e+00,4.047197551196597e+00,4.247197551196598e+00
D2,drift,4.247197551196598e+00,5.247197551196598e+00,4.247197551196598e+00,5.247197551196598e+00
B2,bend,5.247197551196598e+00,8.294395102393196e+00,6.247197551196598e+00,7.294395102393195e+00
