search,wall_s,max_6d_analytic_error,max_transverse_analytic_error,max_transverse_cof_difference,qx,qx_error,x_modulus_error,qy,qy_error,y_modulus_error,exit_iterations,ray_exit_s,field_samples,support_lookups
old,11.248131292173639,8.418101060669869e-08,1.0248268900170387e-08,9.759336450088085e-09,0.22989243084982164,-1.7324974788124337e-11,9.201033268624315e-10,0.31046360279518886,-1.846003905292548e-10,1.749775879744675e-10,14400.0,7.17044,7112250.0,7855543.0
new,4.5275883339345455,5.989100770875666e-08,8.27526847047011e-09,7.786336020387807e-09,0.22989243079658908,-7.055753203921711e-11,7.491107734125535e-10,0.3104636027952162,-1.8457307904284903e-10,1.7500356719324373e-10,1000.0,0.433212,2471994.0,2938477.0
