search,wall_s,max_6d_analytic_error,max_transverse_analytic_error,max_transverse_cof_difference,qx,qx_error,x_modulus_error,qy,qy_error,y_modulus_error,exit_iterations,ray_exit_s,field_samples,support_lookups
old,2.6436955840326846,0.00021412516898067224,7.102322717056353e-06,1.0973517245105313e-05,0.22989160908348855,-8.217836580670657e-07,7.494003084751455e-09,0.3104623865725907,-1.2164071985787395e-06,2.1638979497140554e-10,14400.0,1.36861,792452.0,1741671.0
new,1.379865000024438,0.00022096322898335075,1.675777526877198e-05,3.134537545079752e-07,0.22989145328591468,-9.775812319368082e-07,2.7939290880851786e-09,0.31046238612691585,-1.2168528734091133e-06,3.3075764349632664e-11,2341.0,0.085192,277085.0,764911.0
