case,dt_s,h,stability,matrix_error,max_position_residual_m,max_momentum_residual,qx,qy,qx_error,qy_error,max_modulus_error
trusted-20260907-dt5e-12-h1e-5,5e-12,1e-05,NON_UNIT_CIRCLE,1.4880948390194604e-08,2.1632138322696126e-13,3.2810310102650993e-11,0.2298924324865629,0.3104636030016337,1.6194162955063263e-09,2.1844470676768424e-11,1.9311971466429156e-08
trusted-20260907-dt5e-12-h3e-5,5e-12,3e-05,STABLE,6.312142808440058e-09,2.1632138322696126e-13,3.2810310102650993e-11,0.2298924314934086,0.3104636031748715,6.262619867136721e-10,1.9508228366049707e-10,5.126050695025697e-10
trusted-20260907-dt1e-11-h3e-5,1e-11,3e-05,STABLE,2.9722638572593496e-08,4.697046073716494e-15,5.7791997699272375e-12,0.2298924312900936,0.3104636031748381,4.2294698299194517e-10,1.9504886594745583e-10,1.885921419031433e-09
trusted-20260907-dt2e-11-h3e-5,2e-11,3e-05,STABLE,1.0974736674995711e-08,5.985417403195123e-14,4.818639143477819e-12,0.2298924312308846,0.310463603174842,3.637380119325684e-10,1.9505280723919327e-10,8.393584716159808e-10
trusted-20260907-dt5e-12-h1e-4,5e-12,0.0001,STABLE,5.279402728874949e-08,2.1632138322696126e-13,3.2810310102650993e-11,0.2298924355115116,0.3104636051465261,4.644365031447606e-09,2.166736845499173e-09,6.141069652798592e-09
