      0.995714      -0.676486       0.790183        1.42949        27.4608       -1.86244 
       1.54824        0.25606        1.35194       0.826578        28.2228       -2.56835 
       3.31588        1.39154        1.61681        1.04503        30.1128       -1.79197 
       4.52852      -0.104033        2.50301        2.10717        30.8019       -1.10928 
       4.81835       -1.91623        3.16118        2.59132        30.5462      -0.650186 
       4.52827      -0.966759        2.98793        2.23869        30.2741      -0.691448 
       4.49444       0.527731        2.69762        1.84833        30.3355       -1.21052 
        4.5748       0.212773        2.73001        2.02556        30.7627       -1.08394 
       5.16247       -1.85545        3.78896        2.66293        31.6278      -0.482116 
       6.47644       -1.91469        3.98696        1.68945        31.7704       -1.09328 
        7.3476       -2.49081        3.75683       0.717855         31.638       -1.99624 
       7.74644       -2.83343        3.60879       0.892959         31.811       -2.53858 
       7.58059       -2.80253        3.58965       0.199395       0.363861       -2.57292 
       8.68364       -2.62247        3.90006      -0.159937        31.5552       -2.55434 
       11.6374       -2.17623        4.38764        1.44353        30.5469        -1.7249 
       13.7075       -1.25537         3.9549         1.5033         29.812        -1.9022 
       14.4484       -1.17141        3.90647        1.44041        29.3041       -2.14882 
       3.94947       0.194723         12.768       -3.37389        16.9042       0.604109 
       3.90088        0.59419        13.0854       -3.11894         16.311       0.851316 
       4.26665      -0.129506        13.5607       -2.74507        16.1144       0.761089 
        4.3681     -0.0375294        14.8932       -2.10932        16.4038       0.664582 
       4.25955       0.657421        15.7696       -1.69762        16.7562       0.626133 
       5.10651      -0.796219        15.6317       -1.50478        17.6351       0.721884 
        5.9662       -1.44464        15.1703       -1.73884        17.5367       0.843612 
       5.91752       -1.47199        14.5239       -1.99834        16.7924       0.803633 
       7.51438       -1.62911        15.0542       -1.45363        16.0898       0.387125 
       8.56599       -1.67934          15.95      -0.907014        15.3955     -0.0850338 
       9.04013       -1.86609        15.7832      -0.969539         15.426      -0.105947 
       10.3527       -2.25917        14.7067       -1.67897        16.0361        0.18658 
       10.1904       -2.20394        14.0424       -1.96494        16.6271       0.417095 
       10.2628       -2.17487        13.5924       -2.02497        16.3271       0.519188 
       12.0267       -2.18752        13.8481       -1.81818        15.4698      0.0628248 
       2.07078      0.0195598          2.071          1.612        27.3856       -2.12614 
       2.65229        0.92179        2.78521        1.41889        28.0627       -2.56918 
        3.9864         1.9724        3.62349        1.63507         29.447       -2.13326 
       4.88212      -0.268588        4.56596        2.85847        30.6383       -1.04902 
       4.88853      -0.897039        4.16212        2.76323        30.7706      -0.853385 
       4.70291      -0.482831        3.86659        2.61091        30.4154      -0.875252 
