plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.22989243551151164,4.644365031447606e-09,6.141069652798592e-09
vertical,0.31046360297978925,0.3104636051465261,2.166736845499173e-09,1.6840135952378432e-09
