# The six-dimensional phase space data in the global Cartesian coordinates
# Part. ID    x [m]       beta_x*gamma       y [m]      beta_y*gamma        z [m]      beta_z*gamma
ID0 2.13140000e+00 -2.40000000e-04 0.00000000e+00 3.99201810e-01 0.00000000e+00 0.00000000e+00
ID0 2.13119211e+00 -8.83629665e-03 1.82847819e-02 3.99104075e-01 0.00000000e+00 0.00000000e+00
ID0 2.13059048e+00 -1.74306485e-02 3.65608452e-02 3.98821157e-01 0.00000000e+00 0.00000000e+00
ID0 2.12959533e+00 -2.60171608e-02 5.48197094e-02 3.98353173e-01 0.00000000e+00 0.00000000e+00
ID0 2.12820717e+00 -3.45894891e-02 7.30529062e-02 3.97700528e-01 0.00000000e+00 0.00000000e+00
ID0 2.12642679e+00 -4.31411484e-02 9.12519929e-02 3.96863937e-01 0.00000000e+00 0.00000000e+00
ID0 2.12425527e+00 -5.16665851e-02 1.09408563e-01 3.95844296e-01 0.00000000e+00 0.00000000e+00
ID0 2.12169394e+00 -6.01597951e-02 1.27514260e-01 3.94642803e-01 0.00000000e+00 0.00000000e+00
ID0 2.11874444e+00 -6.86139811e-02 1.45560789e-01 3.93261064e-01 0.00000000e+00 0.00000000e+00
ID0 2.11540878e+00 -7.70197167e-02 1.63539951e-01 3.91701553e-01 0.00000000e+00 0.00000000e+00
ID0 2.11168948e+00 -8.53634556e-02 1.81443691e-01 3.89968234e-01 0.00000000e+00 0.00000000e+00
ID0 2.10759007e+00 -9.36148691e-02 1.99264255e-01 3.88070096e-01 0.00000000e+00 0.00000000e+00
ID0 2.10311610e+00 -1.01716989e-01 2.16994516e-01 3.86025643e-01 0.00000000e+00 0.00000000e+00
ID0 2.09827809e+00 -1.09508239e-01 2.34628992e-01 3.83888120e-01 0.00000000e+00 0.00000000e+00
ID0 2.09309601e+00 -1.16739489e-01 2.52165564e-01 3.81751273e-01 0.00000000e+00 0.00000000e+00
ID0 2.08760323e+00 -1.23072689e-01 2.69607512e-01 3.79756838e-01 0.00000000e+00 0.00000000e+00
ID0 2.08184558e+00 -1.28303831e-01 2.86964032e-01 3.78021521e-01 0.00000000e+00 0.00000000e+00
ID0 2.07587328e+00 -1.32444522e-01 3.04248035e-01 3.76590748e-01 0.00000000e+00 0.00000000e+00
ID0 2.06973217e+00 -1.35673540e-01 3.21472898e-01 3.75439521e-01 0.00000000e+00 0.00000000e+00
ID0 2.06345870e+00 -1.38223797e-01 3.38650059e-01 3.74508111e-01 0.00000000e+00 0.00000000e+00
