element,s_begin_m,s_end_m,lane
B1,0.000000000000e+00,3.048882954800e+00,0
D1,3.048882954800e+00,4.047189763000e+00,0
QACH,4.047189763000e+00,4.245052373700e+00,0
D2,4.245052373700e+00,5.243359181900e+00,0
B2,5.243359181900e+00,8.292242136700e+00,0
