plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.22989243083086214,-3.628447542425306e-11,6.407952946041462e-09
vertical,0.31046360297978925,0.31046360317471833,1.949290728830988e-10,1.5146817133881996e-10
