model,species,pair,samples,time_since_t0_ps_final,s_minus_ip_mm_final,x_um_final,y_um_final,px_final,py_final,pz_final
CAIN,electron,1,1501,9.006230570350105,1.236777483756,916.6580183189,-30.771615218069996,0.9522412046216532,-0.0319508804139812,1.6104312276921506
CAIN,electron,2,1334,8.003536900184459,1.254593265548,951.3351547553,-22.49043249464,1.008175268499084,-0.0237995247500215,1.5958013087856635
CAIN,electron,3,1168,7.0068473837323815,1.25522836164,987.6163385533999,82.82934409261,1.1140701237705088,0.0935030784654645,1.5645974495027828
CAIN,electron,4,1001,6.004153713566737,1.30012718231,919.5580975734,11.719904822050001,1.16216748469718,0.0148337404435449,1.5510733134252035
CAIN,electron,5,834,5.001460043401091,1.51899080357,479.4100894023,3.023775730084,0.6890973002541394,0.0043492939785414,1.668430441090926
CAIN,electron,6,668,4.004770526949014,1.635266740022,95.71644484107,8.512058101129,0.1700644519490304,0.0153456990208805,1.7281448305625675
CAIN,positron,1,1501,9.006230570350105,1.437974940613,5.833529182764,-5.156334900493,0.0168143522022931,-0.0134139315153778,1.7319909156052082
CAIN,positron,2,1334,8.003536900184459,1.4781386052480001,-7.301149755694,3.43640754785,-0.0124487075851525,0.0062706119940872,1.732027681857859
CAIN,positron,3,1168,7.0068473837323815,1.5174802576550002,11.5596068358,-0.9269139642441,0.0180365663384924,-0.0036051517213097,1.7320141002191882
CAIN,positron,4,1001,6.004153713566737,1.556878079743,19.7479487431,1.9122178545129997,0.0282472807229838,0.0038991198726729,1.73195852489873
CAIN,positron,5,834,5.001460043401091,1.598362178091,6.992142622427,-0.664734687717,0.0002302318387532,-0.0013792704612535,1.732052411140962
CAIN,positron,6,668,4.004770526949014,1.639088260608,-4.451030120542,1.083135615835,-0.0019775328634041,0.0021196391017085,1.7320500582950318
analytic Gaussian c0,electron,1,512,51.050000000000004,12.35400944365792,1.9583310659679336,0.0,2.913987300610603e-06,0.0,1.7320555401541364
analytic Gaussian c0,electron,2,512,51.050000000000004,12.654607953738244,1.9506545543328602,0.0,1.5338644144910592e-06,0.0,1.7320546153997398
analytic Gaussian c0,electron,3,512,51.050000000000004,12.9534067702397,1.947297298620475,0.0,8.443270295023111e-07,0.0,1.732053720371318
analytic Gaussian c0,electron,4,512,51.050000000000004,13.254005905825078,1.9457832526269208,0.0,4.870709870955293e-07,0.0,1.7320529656295152
analytic Gaussian c0,electron,5,512,51.050000000000004,13.554605319431085,1.94508425746499,0.0,3.0023578882117733e-07,0.0,1.7320523969296788
analytic Gaussian c0,electron,6,512,51.050000000000004,13.853404944568796,1.9447571861488444,0.0,2.0286733521472982e-07,0.0,1.732052005634503
analytic Gaussian c0,positron,1,512,51.050000000000004,12.353998989421333,1.930346245904749,0.0,-2.905799837317996e-06,0.0,1.732046820716983
analytic Gaussian c0,positron,2,512,51.050000000000004,12.654600479338274,1.9380016586850974,0.0,-1.5317348649858063e-06,0.0,1.73204774544471
analytic Gaussian c0,positron,3,512,51.050000000000004,12.953401662839985,1.9413542289382004,0.0,-8.43751067229448e-07,0.0,1.7320486404662092
analytic Gaussian c0,positron,4,512,51.050000000000004,13.254002527258628,1.9428672357592103,0.0,-4.868998247160503e-07,0.0,1.732049395206382
analytic Gaussian c0,positron,5,512,51.050000000000004,13.554603113654485,1.9435659878005083,0.0,-3.001776813293411e-07,0.0,1.73204996390597
analytic Gaussian c0,positron,6,512,51.050000000000004,13.853403488517829,1.9438929960652584,0.0,-2.0284433916094817e-07,0.0,1.732050355201404
OPALX H5 BeamBeam,electron,1,511,51.04999999998942,-6.6466956686015335,22.7952995331483,-69.04291144401822,0.00642361527814054,-0.013542358474064908,1.7322109697371493
OPALX H5 BeamBeam,electron,2,511,51.04999999998942,-25.346033894946682,16.091248608072735,-8.406914519405198,0.005016788761595997,-0.006034339585815726,1.7321027975031984
OPALX H5 BeamBeam,electron,3,511,51.04999999998942,-25.047248992837112,6.450517100058188,-10.837505046349573,0.0024570526018766027,-0.011123358460246997,1.7321299930380674
OPALX H5 BeamBeam,electron,4,511,51.04999999998942,-24.74666246464527,-0.19225603858612875,-15.999955639334106,-0.0002580496186172686,-0.013899429404700778,1.7321598360198602
OPALX H5 BeamBeam,electron,5,511,51.04999999998942,-24.446058669645886,-3.5836817000024914,-11.266170246962634,-0.003049962890216113,-0.010065586797280158,1.7321006442495943
OPALX H5 BeamBeam,electron,6,511,51.04999999998942,-24.147249628082186,-1.9037734104019801,-4.465685436446135,-0.002582830677434278,-0.004176111543365496,1.7320530621089616
OPALX H5 BeamBeam,positron,1,511,51.04999999998942,-6.646668947387905,-12.633989309277991,63.66656134203314,-0.009911343656307976,0.022177399325596075,1.7324941150679416
OPALX H5 BeamBeam,positron,2,511,51.04999999998942,-25.34606167586237,-10.922301525190342,6.668891889616055,-0.006427662641438755,0.006198018535483657,1.7320985720560877
OPALX H5 BeamBeam,positron,3,511,51.04999999998942,-25.04724957941661,-2.7625674093754053,10.514139181427314,-0.0028466123523238286,0.011044705435217829,1.7321605143189636
OPALX H5 BeamBeam,positron,4,511,51.04999999998942,-24.746639893087536,4.377020178607532,16.352472374815672,0.0006583131353941408,0.014307006063427542,1.7322352981666402
OPALX H5 BeamBeam,positron,5,511,51.04999999998942,-24.446038157902006,7.487599224125539,11.280910242233311,0.0030773663107076556,0.010078319312185662,1.7321635221189913
OPALX H5 BeamBeam,positron,6,511,51.04999999998942,-24.147241688037084,5.740939501818075,4.405838117096432,0.0025239896888344772,0.004106284269821151,1.7320834912671021
