element,s_begin_m,s_end_m,lane
B1,0.000000000000e+00,3.045015640100e+00,0
D1,3.045015640100e+00,4.045001282600e+00,0
QACH,4.045001282600e+00,4.245022394500e+00,0
D2,4.245022394500e+00,5.245008036900e+00,0
B2,5.245008036900e+00,8.288374822000e+00,0
