dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,epsilon,richardson_levels,ranks,mpi_matrix_max_difference
1.000000000000e-13,OK,,5.395236589933e-06,-1.416115714456e-06,-3.617474478825e-07,1.416115714456e-06,3.617474478825e-07,1.416115714456e-06,1.765487000000e-07,2.296295100000e-07,1.000000000000e-03,0,1,0.000000000000e+00
1.000000000000e-13,OK,,1.351276591066e-06,-3.398227454761e-07,-8.725519400585e-08,3.398227454761e-07,8.725519400585e-08,3.398227454761e-07,4.427902100000e-08,5.757286100000e-08,5.000000000000e-04,0,1,0.000000000000e+00
1.000000000000e-13,OK,,3.402265900121e-07,-9.084692506817e-08,-3.263751924177e-08,9.084692506817e-08,3.263751924177e-08,9.084692506817e-08,1.132790200000e-08,2.277624500000e-08,2.500000000000e-04,0,1,0.000000000000e+00
1.000000000000e-13,OK,,5.395236589933e-06,-1.416115714456e-06,-3.617474478825e-07,1.416115714456e-06,3.617474478825e-07,1.416115714456e-06,1.765487000000e-07,2.296295100000e-07,1.000000000000e-03,0,2,0.000000000000e+00
1.000000000000e-13,OK,,1.351276591066e-06,-3.398227454761e-07,-8.725519400585e-08,3.398227454761e-07,8.725519400585e-08,3.398227454761e-07,4.427902100000e-08,5.757286100000e-08,5.000000000000e-04,0,2,0.000000000000e+00
1.000000000000e-13,OK,,3.402265900121e-07,-9.084692506817e-08,-3.263751924177e-08,9.084692506817e-08,3.263751924177e-08,9.084692506817e-08,1.132790200000e-08,2.277624500000e-08,2.500000000000e-04,0,2,0.000000000000e+00
