dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,epsilon,richardson_levels,ranks,finest_epsilon,rays_per_segment,elapsed_s,integration_method,path,scaled_max_error,relative_frobenius_error,worst_entry,orbit_threader_wall_s,R11,R12,R13,R14,R15,R21,R22,R23,R24,R25,R31,R32,R33,R34,R35,R36,R41,R42,R43,R44,R45,R46,R51,R52,R53,R54,R55,R56,R61,R62,R63,R64,R65,R66,difference_from_finest_dt,R16_difference_from_finest_dt,R26_difference_from_finest_dt,mpi_matrix_max_difference,mpi_diagnostics_max_difference
1.000000000000e-12,OK,,4.985394843615e-07,-2.052923343431e-07,-5.651956796002e-08,2.052923343431e-07,5.651956796002e-08,2.052923343431e-07,3.433575800000e-09,6.678453600000e-09,1.000000000000e-01,2,1,2.500000000000e-02,36,6.219190040836e+00,BORIS,L2/dt-1e-12/eps-0.1/ranks-1,4.985394843615e-07,6.433387775851e-08,R12,5.977080000000e+00,-1.386352409950e+00,-1.278842817919e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431719080e-01,-1.386352407205e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851351916328e+00,1.040676279234e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223299189e+00,3.851351911818e+00,0.000000000000e+00,0.000000000000e+00,6.476685251983e-08,2.097555619530e-07,0.000000000000e+00,0.000000000000e+00,9.999999999995e-01,-9.437713305378e-02,-3.265002817200e-14,-7.958647848024e-14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.303300003590e-07,-1.746122603048e-07,-5.288201730615e-08,0.000000000000e+00,0.000000000000e+00
3.000000000000e-12,OK,,4.631493409235e-06,-1.615013683064e-06,-4.824774611451e-07,1.615013683064e-06,4.824774611451e-07,1.615013683064e-06,3.589930000000e-09,6.838085100000e-09,1.000000000000e-01,2,1,2.500000000000e-02,36,3.520233375020e+00,BORIS,L2/dt-3e-12/eps-0.1/ranks-1,4.631493409235e-06,6.254810162333e-07,R34,3.275980000000e+00,-1.386353452585e+00,-1.278846211814e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209435072481e-01,-1.386353438830e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851349799663e+00,1.040675852649e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329222269362e+00,3.851349773458e+00,0.000000000000e+00,0.000000000000e+00,4.904425219265e-07,1.619388366120e-06,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437648058938e-02,7.137454186339e-15,1.169330153759e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.796180000710e-06,-1.584333609026e-06,-4.788399104912e-07,0.000000000000e+00,0.000000000000e+00
1.000000000000e-11,OK,,5.297355340872e-05,-1.745077175261e-05,-5.269629508132e-06,1.745077175261e-05,5.269629508132e-06,1.745077175261e-05,2.888827700000e-08,8.255022000000e-08,1.000000000000e-02,2,1,2.500000000000e-03,36,2.793704541866e+00,BORIS,L2/dt-1e-11/eps-0.01/ranks-1,5.297355340872e-05,6.984873323222e-06,R34,2.573000000000e+00,-1.386365171383e+00,-1.278884333269e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209472764709e-01,-1.386365018781e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851325795733e+00,1.040671018443e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329210603027e+00,3.851325563641e+00,0.000000000000e+00,0.000000000000e+00,5.192905333592e-06,1.747178547014e-05,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.436912392175e-02,-2.437181856977e-14,3.996678396968e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.297685999928e-05,-1.744454946817e-05,-5.266179689462e-06,0.000000000000e+00,0.000000000000e+00
3.000000000000e-11,OK,,4.569021034087e-04,-1.548786209533e-04,-4.688792508900e-05,1.548786209533e-04,4.688792508900e-05,1.548786209533e-04,3.487177200000e-09,5.164655900000e-07,3.000000000000e-02,2,1,7.500000000000e-03,36,2.931785208173e+00,BORIS,L2/dt-3e-11/eps-0.03/ranks-1,4.569021034087e-04,6.094874396306e-05,R34,2.688280000000e+00,-1.386466550806e+00,-1.279215071182e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209799008349e-01,-1.386465736980e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851125589651e+00,1.040630625588e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329112906354e+00,3.851122379003e+00,0.000000000000e+00,0.000000000000e+00,4.613936740905e-05,1.550265694618e-04,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.430517142082e-02,6.309070155373e-14,1.884754951356e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.569055499992e-04,-1.548705486539e-04,-4.688635460571e-05,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,9.118535296244e-09,-5.625266258005e-09,-2.407758203606e-09,5.625266258005e-09,2.407758203606e-09,5.625266258005e-09,1.966965500000e-10,4.398596900000e-09,3.000000000000e-02,3,1,3.750000000000e-03,48,4.876164833293e+01,BORIS,L3/dt-1e-13/eps-0.03/ranks-1,9.118535296244e-09,1.253171302130e-09,R52,4.853820000000e+01,-1.386352254787e+00,-1.278842325042e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431239460e-01,-1.386352259327e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100245e+00,1.040676316125e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389160e+00,3.851352100068e+00,0.000000000000e+00,0.000000000000e+00,3.268215938765e-09,9.118535629311e-09,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437722772321e-02,-3.152732544427e-12,-5.098679612853e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000003e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e-13,OK,,3.975340945317e-08,-2.031905995158e-08,-7.907696750524e-09,2.031905995158e-08,7.907696750524e-09,2.031905995158e-08,1.563570400000e-10,1.197971600000e-08,3.000000000000e-03,3,1,3.750000000000e-04,48,1.811238758289e+01,BORIS,L3/dt-3e-13/eps-0.003/ranks-1,3.975340945317e-08,6.486341674902e-09,R34,1.789250000000e+01,-1.386352265118e+00,-1.278842356499e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431278393e-01,-1.386352268987e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352078923e+00,1.040676311823e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223378792e+00,3.851352078528e+00,0.000000000000e+00,0.000000000000e+00,1.046929087855e-08,3.003533922287e-08,0.000000000000e+00,0.000000000000e+00,9.999999999984e-01,-9.437721003298e-02,-3.618903939130e-12,1.116547569745e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999906e-01,5.372599987119e-08,-5.173858807975e-08,-8.507418650449e-09,0.000000000000e+00,0.000000000000e+00
1.000000000000e-12,OK,,5.271234098103e-07,-2.542478264115e-07,1.653493122300e-07,2.542478264115e-07,1.653493122300e-07,2.542478264115e-07,9.418904800000e-09,7.429111900000e-07,1.000000000000e-05,3,1,1.250000000000e-06,48,7.458833290963e+00,BORIS,L3/dt-1e-12/eps-1e-05/ranks-1,5.271234098103e-07,7.586489971900e-08,R34,7.240370000000e+00,-1.386352560952e+00,-1.278842602746e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209432006685e-01,-1.386352162418e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851351837071e+00,1.040676263086e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223261135e+00,3.851351834252e+00,0.000000000000e+00,0.000000000000e+00,1.740555618789e-07,-1.785656389528e-07,0.000000000000e+00,0.000000000000e+00,9.999999999575e-01,-9.437750821435e-02,2.554005478425e-10,-4.373707194769e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999990486e-01,1.450605488416e-05,8.114450987059e-06,2.707296085622e-06,0.000000000000e+00,0.000000000000e+00
3.000000000000e-12,OK,,4.791033410001e-06,-1.591397539596e-06,-4.808375864024e-07,1.591397539596e-06,4.808375864024e-07,1.591397539596e-06,1.629929500000e-11,2.117954500000e-10,1.000000000000e-01,3,1,1.250000000000e-02,48,4.581935750088e+00,BORIS,L3/dt-3e-12/eps-0.1/ranks-1,4.791033410001e-06,6.334690563263e-07,R34,4.340070000000e+00,-1.386353430017e+00,-1.278846144315e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209435003027e-01,-1.386353417518e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851349721210e+00,1.040675836695e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329222231721e+00,3.851349696921e+00,0.000000000000e+00,0.000000000000e+00,4.804850639497e-07,1.591471155735e-06,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437649775493e-02,1.692909457296e-13,2.735417476121e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.794280000553e-06,-1.583377591156e-06,-4.783673543796e-07,0.000000000000e+00,0.000000000000e+00
1.000000000000e-11,OK,,5.296003340938e-05,-1.745184712969e-05,-5.270034097846e-06,1.745184712969e-05,5.270034097846e-06,1.745184712969e-05,2.972103200000e-08,2.979440600000e-08,1.000000000000e-01,3,1,1.250000000000e-02,48,3.915976625169e+00,BORIS,L3/dt-1e-11/eps-0.1/ranks-1,5.296003340938e-05,6.984019012617e-06,R34,3.661820000000e+00,-1.386365172257e+00,-1.278884335951e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209472768029e-01,-1.386365019755e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851325802337e+00,1.040671019795e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329210606395e+00,3.851325570533e+00,0.000000000000e+00,0.000000000000e+00,5.262195555356e-06,1.745973482241e-05,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.436913333254e-02,-5.874647642309e-15,-8.131803430249e-14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999999e-01,5.296327999993e-05,-1.744382718125e-05,-5.267563865823e-06,0.000000000000e+00,0.000000000000e+00
3.000000000000e-11,OK,,4.570085434086e-04,-1.548798549959e-04,-4.688793133509e-05,1.548798549959e-04,4.688793133509e-05,1.548798549959e-04,2.120565400000e-08,1.009637000000e-04,3.000000000000e-04,3,1,3.750000000000e-05,48,3.381412040908e+00,BORIS,L3/dt-3e-11/eps-0.0003/ranks-1,4.570085434086e-04,6.279328371136e-05,R34,3.164030000000e+00,-1.386466550140e+00,-1.279215075365e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209799003452e-01,-1.386465738488e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851125533027e+00,1.040630614944e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329112877413e+00,3.851122325609e+00,0.000000000000e+00,0.000000000000e+00,-5.430698246668e-05,2.134040713641e-04,0.000000000000e+00,0.000000000000e+00,1.000000000002e+00,-9.424905991730e-02,1.721225401208e-12,2.702298812686e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999993e-01,4.570117800000e-04,-1.547338311232e-04,-4.689701109371e-05,0.000000000000e+00,0.000000000000e+00
