variable,fixed_variable,fixed_value,richardson_levels,coarse,fine,metric,order
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.010077632736e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.896510765831e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.729064771667e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,1.905587620006e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,1.441609161371e-01
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R16,2.127715669044e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R26,-3.353888250389e-01
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,-3.129905613207e-01
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,3.653531625719e-02
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R16,-1.766220224539e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R26,-1.929138098299e-01
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.955788298058e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.987196254353e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.989653896658e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.955666253949e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,2.002374890891e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.988118412307e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.989220185660e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,2.001097253722e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.016543431082e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R16,2.096028794682e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.940922372448e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.004079221119e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,1.605165608096e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.149231199529e+00
