plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.22989243101346424,1.4631762468297893e-10,6.784113271152137e-09
vertical,0.31046360297978925,0.31046360300190146,2.211220095915678e-11,1.6785683953912667e-11
