dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,full_matrix_error_order,dispersion_error_order,difference_from_finest
1.000000000000e-10,INVALID,time step too long for QACH field extent,,,,,,,,,,,
1.000000000000e-11,OK,,4.795159340887e-05,-1.886340311405e-05,-5.631438646469e-06,1.886340311405e-05,5.631438646469e-06,1.886340311405e-05,1.765608400000e-07,2.434575100000e-07,,,5.334682999880e-05
1.000000000000e-12,OK,,4.864806591343e-06,-1.594085260378e-06,-4.164607770445e-07,1.594085260378e-06,4.164607770445e-07,1.594085260378e-06,1.764935900000e-07,2.295651900000e-07,9.937374643155e-01,1.073108499669e+00,5.304299985909e-07
1.000000000000e-13,OK,,5.395236589933e-06,-1.416115714456e-06,-3.617474478825e-07,1.416115714456e-06,3.617474478825e-07,1.416115714456e-06,1.765487000000e-07,2.296295100000e-07,-4.494491512658e-02,5.141280399753e-02,0.000000000000e+00
