1.25	3.0101	2.3568	2.1988	2.129	2.0898
1.3	3.0756	2.3936	2.2292	2.1566	2.1158
1.35	3.1362	2.4252	2.2542	2.1788	2.1365
1.4	3.1917	2.4514	2.274	2.1958	2.1519
1.45	3.2424	2.4724	2.2885	2.2074	2.1619
1.5	3.2883	2.4883	2.2978	2.2139	2.1668
1.55	3.3294	2.499	2.3019	2.2152	2.1666
1.6	3.3659	2.5047	2.301	2.2114	2.1612
1.65	3.3979	2.5054	2.2952	2.2027	2.1509
1.7	3.4255	2.5013	2.2844	2.1891	2.1357
1.75	3.4488	2.4924	2.2689	2.1708	2.1158
1.8	3.468	2.479	2.2488	2.1478	2.0912
1.85	3.4832	2.461	2.2241	2.1203	2.0621
1.9	3.4946	2.4387	2.1951	2.0884	2.0286
1.95	3.5024	2.4122	2.1618	2.0522	1.9909
2	3.5066	2.3816	2.1245	2.012	1.949
2.05	3.5075	2.3471	2.0831	1.9677	1.9032
2.1	3.5053	2.3087	2.0379	1.9197	1.8535
2.15	3.5001	2.2667	1.9891	1.8679	1.8002
2.2	3.4921	2.2212	1.9367	1.8126	1.7433
2.25	3.4815	2.1724	1.8809	1.7539	1.6829
2.3	3.4683	2.1202	1.8218	1.6919	1.6193
2.35	3.4529	2.065	1.7596	1.6267	1.5526
2.4	3.4354	2.0068	1.6943	1.5586	1.4828
2.45	3.4159	1.9458	1.6262	1.4875	1.4101
2.5	3.3946	1.882	1.5553	1.4137	1.3347
2.55	3.3716	1.8155	1.4817	1.3371	1.2565
2.6	3.3471	1.7466	1.4056	1.2581	1.1758
2.65	3.3213	1.6752	1.327	1.1765	1.0926
2.7	3.2943	1.6015	1.246	1.0925	1.0071
2.75	3.2661	1.5255	1.1627	1.0062	0.91916
2.8	3.2143	1.4245	1.0544	0.89495	0.80624
2.85	3.1579	1.3177	0.94016	0.77775	0.68741
2.9	3.1034	1.2115	0.82647	0.66107	0.5691
2.95	3.0508	1.1056	0.71315	0.54473	0.45113
3	3	1	0.6	0.42857	0.33333
