plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.22987720332711717,-1.5227540029444375e-05,1.8788546940484707e-08
vertical,0.31046360297978925,0.31044447875353925,-1.912422625000021e-05,1.5145928955462296e-10
