plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.2298924324865629,1.6194162955063263e-09,1.9311971466429156e-08
vertical,0.31046360297978925,0.3104636030016337,2.1844470676768424e-11,1.6970203020605368e-11
