time_s,energy_MeV
2.0565975649885148e-08,72.46003165246813
4.113195129977037e-08,72.92542929366205
6.169792694965492e-08,73.27309920759262
8.226390259953352e-08,73.27309920761012
1.0282987824941213e-07,73.7423182883286
1.2339585389929075e-07,74.2124464426433
1.4396182954916936e-07,74.2124464427958
1.6452780519904796e-07,74.5486489660947
1.8509378084892657e-07,75.02864655717342
2.0565975649880517e-07,75.02864655717946
2.2622573214868378e-07,75.50444786236886
2.467917077985624e-07,75.98648015287607
2.67357683448441e-07,75.98648015303107
2.879236590983196e-07,76.32191332614855
3.084896347481982e-07,76.80816997634142
3.290556103980768e-07,77.29283475728872
3.496215860479554e-07,77.29283475733247
3.70187561697834e-07,77.78692260028862
3.9075353734771263e-07,78.28522370720707
4.1131951299759124e-07,78.12166944057441
4.3188548864746984e-07,78.61494677087026
4.5245146429734845e-07,79.11019896852174
4.7301743994722706e-07,79.11019896859382
4.935834155971057e-07,79.61533864394657
5.141493912469843e-07,80.1207063541685
5.347153668968629e-07,80.45004082215192
5.552813425467415e-07,80.45004082217108
5.758473181966201e-07,80.95686092211976
5.964132938464987e-07,81.47131298328195
6.169792694963774e-07,81.47131298343612
6.37545245146256e-07,81.98344462262907
6.581112207961346e-07,82.31311906328463
6.786771964460132e-07,82.31311906329358
6.992431720958918e-07,82.83133256517645
7.198091477457704e-07,83.35323796292313
7.40375123395649e-07,83.35323796309439
7.609410990455276e-07,83.68000726265396
7.815070746954062e-07,84.20238791492618
8.020730503452848e-07,84.7304464380088
8.226390259951634e-07,84.73044643805567
8.43205001645042e-07,85.25875620111921
8.637709772949206e-07,85.7871840423714
8.843369529447992e-07,85.58091504004265
9.049029285946778e-07,86.11454367878565
9.254689042445564e-07,86.65029200067208
9.460348798944351e-07,86.65029200074187
9.666008555443803e-07,87.185288294464
9.871668311943647e-07,87.72408766938283
1.0077328068443492e-06,87.50263861533556
1.0282987824943337e-06,88.04628224753412
1.0488647581443182e-06,88.58831505595457
1.0694307337943027e-06,89.13131378909384
1.0899967094442872e-06,89.1313137892605
1.1105626850942717e-06,89.68115751231683
1.1311286607442561e-06,89.99662046747429
1.1516946363942406e-06,89.99662046748615
1.1722606120442251e-06,90.54485450220218
1.1928265876942096e-06,91.09748542356657
1.213392563344194e-06,91.09748542375677
1.2339585389941786e-06,91.40971922216032
1.254524514644163e-06,91.9674971847368
1.2750904902941475e-06,92.5230301661419
1.295656465944132e-06,92.52303016618794
1.3162224415941165e-06,93.08638559709539
1.336788417244101e-06,93.65458099732773
1.3573543928940855e-06,93.39816420077537
1.37792036854407e-06,93.96178035280522
1.3984863441940545e-06,94.52634922711141
1.419052319844039e-06,94.52634922718059
1.4396182954940234e-06,95.10004640127673
1.460184271144008e-06,95.67435157032867
1.4807502467939924e-06,95.41040119922275
1.5013162224439769e-06,95.98088350931513
1.5218821980939614e-06,96.55584574566363
1.5424481737439458e-06,97.13791250817546
1.5630141493939303e-06,97.13791250835985
1.5835801250439148e-06,97.71773148008933
1.6041461006938993e-06,98.02444159578484
1.6247120763438838e-06,98.02444159579547
1.6452780519938683e-06,98.60961598333701
1.6658440276438528e-06,99.19789390983922
1.6864100032938372e-06,99.19789391004257
1.7069759789438217e-06,99.50138026754755
1.7275419545938062e-06,100.09053681849768
1.7481079302437907e-06,100.09053681850455
1.7686739058937752e-06,100.68407486662092
1.7892398815437597e-06,101.27767062582106
1.8098058571937442e-06,101.87224473497318
