plane,analytic_phase,tracked_phase,phase_error,modulus_error
horizontal,0.2298924308671466,0.22989145989377407,-9.70973372538264e-07,2.604240822989823e-09
vertical,0.31046360297978925,0.3104623841007778,-1.2188790114442405e-06,1.515518821548767e-10
